confidence,brand,domain,source,other_candidates,slug,seller_page
high,Shoppers Stop,shoppersstop.com,gyftr,,shoppers-stop,https://www.gyftr.com/shoppers-stop
high,Shopy Vision,shopyvision.com,gyftr,,shopy-vision,https://www.gyftr.com/shopy-vision
high,Shopy Vision,shopyvision.com,buyhatke,,shopy-vision-gift-card,https://buyhatke.com/gift-cards/shopy-vision-gift-card
high,Skechers,skechers.in,gyftr,,skechers,https://www.gyftr.com/skechers
high,Skechers,skechers.in,maximize,,skechers,https://www.maximize.money/gift-cards/Skechers/288
high,Skechers,skechers.in,buyhatke,,skechers-gift-card,https://buyhatke.com/gift-cards/skechers-gift-card
high,Skullcandy,skullcandy.in,maximize,shop.brandeyes.in | brandeyes.in,skullcandy,https://www.maximize.money/gift-cards/Skullcandy/289
high,Skullcandy,skullcandy.in,buyhatke,shop.brandeyes.in | brandeyes.in,skullcandy-gift-card,https://buyhatke.com/gift-cards/skullcandy-gift-card
high,Snitch,snitch.com,gyftr,,snitch,https://www.gyftr.com/snitch
high,Soch,soch.com,buyhatke,,soch-gift-card,https://buyhatke.com/gift-cards/soch-gift-card
high,Solara,solara.in,gyftr,,solara,https://www.gyftr.com/solara
high,SonyLiv,sonyliv.com,gyftr,,sonyliv,https://www.gyftr.com/sonyliv
high,SonyLiv,sonyliv.com,buyhatke,sonyliv.comorsubscription,sonyliv-gift-card,https://buyhatke.com/gift-cards/sonyliv-gift-card
