brand,domain,sellers,how_decided
Shoppers Stop,shoppersstop.com,gyftr,auto: name in address
Shopy Vision,shopyvision.com,buyhatke;gyftr,auto: name in address
Simple,simpleskincare.in,buyhatke,auto: name in address
Skechers,skechers.in,buyhatke;gyftr;maximize,auto: name in address
Skullcandy,skullcandy.in,buyhatke;maximize,auto: name in address
Skullcandy,shop.brandeyes.in,gyftr,checked by hand
Smile Foundation,smilefoundationindia.org,buyhatke;maximize,auto: name in address
Snapdeal 1000,snapdeal.com,buyhatke,auto: name in address
Snapdeal 500,snapdeal.com,buyhatke,auto: name in address
Snitch,snitch.com,gyftr,auto: name in address
Snitch E,snitch.com,buyhatke,auto: name in address
Soch,soch.com,buyhatke,auto: name in address
Solara,solara.in,gyftr,auto: name in address
Sony Playstation,playstation.com,gyftr,auto: name in address
SonyLiv,sonyliv.com,buyhatke;gyftr,auto: name in address
SonyLiv 6 Months,sonyliv.com,buyhatke,auto: name in address
Soulflower,soulflower.in,buyhatke;gyftr;maximize,auto: name in address
Speedo,speedo.com,gyftr,auto: name in address
Speedo,speedo.in,buyhatke;maximize,auto: name in address
SpiceJet,spicejet.com,buyhatke,auto: name in address
Spotify,spotify.com,gyftr,auto: name in address
Sri Jagdamba Pearls,jpearls.com,buyhatke,auto: name in address
SSUNSU,ssunsu.in,buyhatke;gyftr;maximize,auto: name in address
Starbucks,tatastarbucks.com,buyhatke,auto: name in address
Starbucks,starbucks.in,maximize,auto: name in address
StayVista,stayvista.com,buyhatke;maximize,auto: name in address
Steam Gift Card,steampowered.com,gyftr,auto: name in address
Steam Wallet,steampowered.com,gyftr,auto: name in address
Sterling Holidays,sterlingholidays.com,buyhatke;maximize,auto: name in address
Subway,subway.in,maximize,auto: name in address
Sun Scoop,innovist.com,buyhatke,checked by hand
SUPA,supastyle.com,buyhatke,auto: name in address
Superbottoms,superbottoms.com,buyhatke;gyftr;maximize,auto: name in address
Surat Diamond,suratdiamond.com,maximize,auto: name in address
Surat Diamond Solitaire,suratdiamond.com,maximize,auto: name in address
Surat Diamonds,suratdiamond.com,buyhatke;gyftr,auto: name in address
Surat Diamonds Main,suratdiamond.com,buyhatke;maximize,auto: name in address
Surat Diamonds Solitaire,suratdiamond.com,buyhatke,auto: name in address
Svenklas,svenklas.com,buyhatke,auto: name in address
Swiggy Money Voucher,swiggy.com,gyftr,auto: name in address
SWISS BEAUTY,swissbeauty.in,buyhatke;gyftr,auto: name in address
Taj Hotels,tajhotels.com,buyhatke,auto: name in address
Tanishq Gold Coin,stores.tanishq.co.in,buyhatke;maximize,auto: name in address
TATA CLiQ,tatacliq.com,gyftr,auto: name in address
Tata CliQ Luxury,tatacliq.com,buyhatke;gyftr,auto: name in address
TataCliq Fashion,tatacliq.com,buyhatke,auto: name in address
Tattva Spa,tattvaspa.com,buyhatke;gyftr;maximize,auto: name in address
TEGO,tego.fit,buyhatke;gyftr;maximize,checked by hand
The Bear House,thebearhouse.com,maximize,auto: name in address
The Body Shop,thebodyshop.in,buyhatke;gyftr;maximize,auto: name in address
The Collective,thecollective.in,buyhatke;maximize,auto: name in address
The Man Company,themancompany.com,buyhatke;gyftr;maximize,auto: name in address
The Reading Habit,thereadinghabit.in,buyhatke,auto: name in address
The Skin Story,story.in,gyftr,auto: name in address
Things2Do,things2.do,buyhatke,checked by hand
Times Prime Lite,timesprime.com,buyhatke,auto: name in address
Times Prime Power,timesprime.com,buyhatke,auto: name in address
Times Prime Prive,timesprime.com,buyhatke,auto: name in address
Tinder,tinder.com,buyhatke;gyftr;maximize,auto: name in address
TripXOXO,tripxoxo.com,buyhatke;maximize,auto: name in address
Troll Beads,trollbeads.in,gyftr,auto: name in address
Typsy Beauty,typsybeauty.com,buyhatke;gyftr,auto: name in address
Tzaro,tzaro.com,buyhatke,auto: name in address
UBER,uber.com,buyhatke;gyftr,auto: name in address
UniPin,unipin.com,buyhatke;gyftr,checked by hand
UniPin BGMI,unipin.com,gyftr,checked by hand
Unipin- BGMI Voucher,unipin.com,maximize,checked by hand
United Colors of Benetton BAGLINE,bagline.com,buyhatke,auto: name in address
Urban Ladder,urbanlader.com,buyhatke,auto: name in address
Urban Ladder,urbanladder.com,maximize,auto: name in address
Urban Space,urbanspacestore.in,gyftr,auto: name in address
V Mart (Custom),stores.vmart.co.in,maximize,auto: name in address
Valorant,riotgames.com,buyhatke;gyftr,checked by hand
Valorant Gift Card,riotgames.com,gyftr,checked by hand
Vaya,vaya.in,buyhatke,auto: name in address
Veridicus,veridicushealthcares.com,gyftr,auto: name in address
Vinci Botanicals,vincibotanicals.com,buyhatke,auto: name in address
Vinzberry,vinzberry.com,gyftr,auto: name in address
Vitamin Haat,vitaminhaat.com,buyhatke,auto: name in address
VROTT,vrott.tv,buyhatke;gyftr;maximize,auto: name in address
Wakefit,wakefit.co,buyhatke;maximize,auto: name in address
Wellbeing Nutrition,wellbeingnutrition.com,buyhatke;gyftr;maximize,auto: name in address
What's Up Wellness,whatsupwellness.in,gyftr,auto: name in address
Woggles,woggles.in,buyhatke,auto: name in address
Wonderchef,wonderchef.com,buyhatke;maximize,auto: name in address
Woodland,woodlandworldwide.com,buyhatke;gyftr,auto: name in address
World of Titan,titan.co.in,maximize,checked by hand
World of Titan (1 Day Wait),titan.co.in,buyhatke,checked by hand
World of Titan 8 Hr Wait,titan.co.in,buyhatke,checked by hand
World of Titan SmartWatch,titan.co.in,maximize,checked by hand
Wynk Music,wynk.in,gyftr,auto: name in address
Xbox Essential Game Pass,xbox.com,buyhatke,auto: name in address
Xbox Premium Game Pass,xbox.com,buyhatke,auto: name in address
Xbox Ultimate Game Pass,xbox.com,buyhatke,auto: name in address
Xfused,goxfused.com,buyhatke,auto: name in address
Yalla Ludo,yallaludo.com,gyftr;maximize,auto: name in address
Yatra,yatra.com,buyhatke;maximize,auto: name in address
Yatra - 1500,yatra.com,maximize,auto: name in address
Yatra - 2000,yatra.com,maximize,auto: name in address
Yatra - 500,yatra.com,maximize,auto: name in address
Yatra Hotel,yatra.com,buyhatke;maximize,auto: name in address
Yatra Hotel Gift Card,yatra.com,gyftr,auto: name in address
Yatra Hotels and Holidays,yatra.com,buyhatke;maximize,auto: name in address
Yatra Hotels Holidays,yatra.com,buyhatke,auto: name in address
Yatra Prime,yatra.com,buyhatke,auto: name in address
Yatra Special,yatra.com,buyhatke,auto: name in address
Yatra Travel Treat 1000,yatra.com,buyhatke,auto: name in address
Yatra Voucher,yatra.com,gyftr,auto: name in address
Zee5,zee5.com,buyhatke;gyftr,auto: name in address
ZEE5 Regional,zee5.com,buyhatke,auto: name in address
Zepto,zeptonow.com,buyhatke;gyftr;maximize,auto: name in address
Zomato,zomato.com,buyhatke,auto: name in address
Zoomcar,zoomcar.com,gyftr;maximize,auto: name in address
Zouk,zouk.co.in,gyftr;maximize,auto: name in address
